date,use,app,file,ping,download,upload
2017-09-03 21:26:00,3e9935b110e33f7370693492fa0a05cd3421c004,OpenSignal,received_1923513214581560.jpeg,44,13.31,0.768
2017-09-03 21:35:00,3e9935b110e33f7370693492fa0a05cd3421c004,OpenSignal,OpenSignal_SpeedTest.jpg,68,13.69,2.35
2017-09-04 11:50:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21363552_1868888833126591_1313999249_o.jpg,78,18.9,5.5
2017-09-04 12:53:00,bb2723549230e29cc7ff1fbfa10187ecaaca31da,Speedtest,21232014_485572685158708_4837982150696825547_n.jpg,19,15.26,11.66
2017-09-04 19:59:00,de941c81fddde6bc070c8a4e2631857e913fa2c8,OpenSignal,21362848_1630099740386377_1062748825_n.jpg,60,2.29,0
2017-09-05 08:08:00,00e1ec97bb328745a124d4c8a2674e9f15b2cf7a,OpenSignal,21389237_1803183009699504_1181903696_o.png,36,7.76,1.74
2017-09-05 08:09:00,00e1ec97bb328745a124d4c8a2674e9f15b2cf7a,OpenSignal,21392947_1803183013032837_1697476814_o.png,35,13.48,2.7
2017-09-05 11:35:00,00e1ec97bb328745a124d4c8a2674e9f15b2cf7a,OpenSignal,21439346_1803183313032807_988417739_o.png,44,5.45,3.78
2017-09-06 12:07:00,6bf2991eb6249296b98c0eb98e714aa3f534e601,Speedtest,21439316_10213235996110988_1436715933_o.jpg,17,4.24,3.84
2017-09-06 10:15:00,00e1ec97bb328745a124d4c8a2674e9f15b2cf7a,OpenSignal,21441205_1804084576276014_1333347130_o.png,29,17.04,9.19
2017-09-06 15:22:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21439475_1871043672911107_1013297995_o.jpg,34,6.7,5.1
2017-09-07 07:35:00,ab9ab8e809930963b6da22c98a5cca6215472096,OpenSignal,21314318_10212663845943833_2591718994403143252_n.jpg,45,4.37,0.209
2017-09-08 12:55:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21459971_1872778876070920_1420070465_o.jpg,38,8.4,4.6
2017-09-09 09:07:00,14c4aff667616636172baddf1b767010e2e1851d,Speedtest,21584886_514226015590258_767800691_n.jpg,27,4.36,6.48
2017-09-09 19:48:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21556143_1874073879274753_1306079668_o.jpg,50,16.9,5.2
2017-09-10 11:53:00,6bf2991eb6249296b98c0eb98e714aa3f534e601,Speedtest,21556235_10213269528909287_852532290_o.jpg,18,1.57,1.36
2017-09-10 21:11:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21584297_1875173652498109_499511433_o.jpg,43,5,3.9
2017-09-13 19:03:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21754923_1878049362210538_1430500288_o.jpg,40,7.4,5.4
2017-09-15 18:44:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21755096_1880176195331188_963750706_o.jpg,56,15.1,4.6
2017-09-21 17:51:00,594ea089a62daaf6ab2ece18ebfb1a8242106d05,OpenSignal,21931697_1886366364712171_1175958869_o.jpg,37,5.9,4.6
